time,date,message,package_id
13:23:45.6,2023-02-07,PackageAppeared,125064243
13:23:47.3,2023-02-07,Destination Found,408778249
13:23:54.4,2023-02-07,PackageDelivered,408778249
13:24:02.0,2023-02-07,BarcodeRead,125064243
13:24:04.6,2023-02-07,PackageAppeared,998322615
13:24:06.9,2023-02-07,Destination Searching,1579054833
13:24:12.3,2023-02-07,PackageStopped,1579054833
13:24:29.7,2023-02-07,PackageDumped,1579054833
13:24:37.0,2023-02-07,BarcodeRead,998322615
13:24:40.2,2023-02-07,PackageAppeared,738890442
13:24:41.9,2023-02-07,Destination Found,125064243
13:24:49.1,2023-02-07,PackageDelivered,125064243
13:24:56.1,2023-02-07,BarcodeRead,738890442
13:24:59.2,2023-02-07,PackageAppeared,1797921697
13:25:01.1,2023-02-07,Destination Found,998322615
13:25:08.2,2023-02-07,PackageDelivered,998322615
13:25:15.4,2023-02-07,BarcodeRead,1797921697
13:25:18.4,2023-02-07,PackageAppeared,1888888441
13:25:20.1,2023-02-07,Destination Found,738890442
13:25:27.4,2023-02-07,PackageDelivered,738890442
13:25:34.4,2023-02-07,BarcodeRead,1888888441
13:25:37.6,2023-02-07,PackageAppeared,2050436898
13:25:39.9,2023-02-07,Destination Searching,1797921697
13:25:45.2,2023-02-07,PackageStopped,1797921697
13:26:10.7,2023-02-07,PackageDumped,1797921697
13:26:18.1,2023-02-07,BarcodeRead,2050436898
13:26:21.2,2023-02-07,PackageAppeared,1660289184
13:26:23.2,2023-02-07,Destination Found,1888888441
13:26:30.2,2023-02-07,PackageDelivered,1888888441
13:26:38.0,2023-02-07,BarcodeRead,1660289184
13:26:43.5,2023-02-07,Destination Searching,2050436898
13:26:48.9,2023-02-07,PackageStopped,2050436898
13:27:15.0,2023-02-07,PackageDumped,2050436898
13:27:19.3,2023-02-07,PackageAppeared,1255346000
13:27:29.1,2023-02-07,Destination Found,1660289184
13:27:35.0,2023-02-07,PackageDelivered,1660289184
13:27:59.2,2023-02-07,BarcodeRead,1255346000
13:28:19.1,2023-02-07,PackageAppeared,679597580
13:28:22.7,2023-02-07,Destination Searching,1255346000
13:28:24.0,2023-02-07,BarcodeRead,679597580
13:28:28.7,2023-02-07,PackageStopped,1255346000
13:28:50.5,2023-02-07,PackageDumped,1255346000
13:28:59.4,2023-02-07,PackageAppeared,993524600
13:29:03.1,2023-02-07,Destination Searching,679597580
13:29:03.8,2023-02-07,BarcodeRead,993524600
13:29:08.6,2023-02-07,PackageStopped,679597580
13:29:19.8,2023-02-07,PackageAppeared,105173816
13:29:33.9,2023-02-07,PackageDumped,679597580
13:29:41.3,2023-02-07,BarcodeRead,105173816
13:29:45.4,2023-02-07,Destination Found,993524600
13:29:52.9,2023-02-07,PackageDelivered,993524600
13:29:58.7,2023-02-07,PackageAppeared,1136888975
13:30:05.4,2023-02-07,Destination Found,105173816
13:30:12.9,2023-02-07,PackageDelivered,105173816
13:30:24.7,2023-02-07,BarcodeRead,1136888975
13:30:51.3,2023-02-07,PackageStopped,1136888975
13:30:52.0,2023-02-07,Destination Found,1136888975
13:30:54.9,2023-02-07,PackageDelivered,1136888975
13:30:56.6,2023-02-07,PackageAppeared,520255318
13:31:02.7,2023-02-07,BarcodeRead,520255318
13:31:06.2,2023-02-07,PackageAppeared,1440638221
13:31:12.4,2023-02-07,BarcodeRead,1440638221
13:31:15.9,2023-02-07,PackageAppeared,477364118
13:31:20.4,2023-02-07,PackageStopped,520255318
13:33:33.8,2023-02-07,Destination Found,520255318
13:33:35.5,2023-02-07,PackageDelivered,520255318
13:33:42.5,2023-02-07,BarcodeRead,477364118
13:33:49.0,2023-02-07,Destination Found,1440638221
13:33:55.1,2023-02-07,PackageDelivered,1440638221
13:33:59.6,2023-02-07,PackageAppeared,1716228924
13:34:01.6,2023-02-07,PackageLost,1716228924
13:34:02.0,2023-02-07,PackageAppeared,916044548
13:34:06.9,2023-02-07,BarcodeRead,916044548
13:34:07.8,2023-02-07,PackageLost,916044548
13:34:08.6,2023-02-07,Destination Searching,477364118
13:34:13.3,2023-02-07,PackageStopped,477364118
13:34:49.4,2023-02-07,PackageDumped,477364118
13:36:27.3,2023-02-07,PackageAppeared,661456951
13:36:33.6,2023-02-07,BarcodeRead,661456951
13:36:37.4,2023-02-07,PackageAppeared,1451534339
13:36:51.0,2023-02-07,PackageStopped,661456951
13:37:38.6,2023-02-07,Destination Found,661456951
13:37:41.5,2023-02-07,PackageDelivered,661456951
13:37:44.5,2023-02-07,BarcodeRead,1451534339
13:37:59.1,2023-02-07,PackageAppeared,1616332214
13:38:11.6,2023-02-07,PackageStopped,1451534339
13:38:59.2,2023-02-07,Destination Found,1451534339
13:39:02.0,2023-02-07,PackageDelivered,1451534339
13:39:06.4,2023-02-07,PackageAppeared,1985914393
13:39:12.6,2023-02-07,BarcodeRead,1985914393
13:39:30.0,2023-02-07,PackageStopped,1985914393
13:40:02.1,2023-02-07,PackageAppeared,2078195298
13:40:08.4,2023-02-07,BarcodeRead,2078195298
13:40:17.8,2023-02-07,Destination Not Found,1985914393
13:40:29.2,2023-02-07,PackageDumped,1985914393
13:40:38.4,2023-02-07,PackageAppeared,487719114
13:40:44.8,2023-02-07,BarcodeRead,487719114
13:40:47.3,2023-02-07,PackageStopped,2078195298
13:40:47.8,2023-02-07,PackageAppeared,1889704609
13:41:35.4,2023-02-07,Destination Found,2078195298
13:41:38.2,2023-02-07,PackageDelivered,2078195298
13:41:45.2,2023-02-07,BarcodeRead,1889704609
13:41:49.1,2023-02-07,PackageAppeared,1694498655
13:41:56.0,2023-02-07,PackageStopped,487719114
13:41:56.4,2023-02-07,Destination Found,487719114
13:41:59.2,2023-02-07,PackageDelivered,487719114
13:42:07.8,2023-02-07,BarcodeRead,1694498655
13:42:10.8,2023-02-07,PackageAppeared,847977078
